city,state,date_time,shape,duration
San Gabriel,CA,2017-07-29T21:00:00,circle,1 - 5 minutes
Brookfield,WI,2017-07-29T20:30:00,other,6 - 10 minutes
Lake Worth,FL,2017-07-28T23:25:00,sphere,< 1 minute
Chicago,IL,2017-07-28T22:30:00,fireball,1 - 5 minutes
Hawarden,IA,2017-07-28T22:00:00,sphere,6 - 10 minutes
Stevens Point,WI,2017-07-28T19:25:00,circle,1 - 5 minutes
West Jordan,UT,2017-07-28T16:00:00,triangle,< 1 minute
Norcross,GA,2017-07-28T11:00:00,unknown,1 - 5 minutes
San Bernardino,CA,2017-07-28T10:13:00,other,1 - 5 minutes
Cathedral City,CA,2017-07-28T00:41:00,flash,Unknown
Sherman Oaks,CA,2017-07-27T23:54:00,fireball,1 - 5 minutes
Spokane,WA,2017-07-27T23:20:00,oval,1 - 5 minutes
Spokane,WA,2017-07-27T23:00:00,oval,1 - 5 minutes
Clinton,IA,2017-07-27T22:43:00,circle,< 1 minute
Orange County,VT,2017-07-27T22:30:00,light,1 - 5 minutes
Lincoln,NE,2017-07-27T22:20:00,light,< 1 minute
Bentonville,AR,2017-07-27T21:45:00,light,< 1 minute
Rogers,AR,2017-07-27T21:35:00,triangle,< 1 minute
San Bernardino,CA,2017-07-27T21:30:00,changing,< 1 minute
Warwick,RI,2017-07-27T20:55:00,disk,1 - 5 minutes
Buckeye,AZ,2017-07-27T20:38:00,other,6 - 10 minutes
Covina,CA,2017-07-27T19:00:00,circle,1 - 5 minutes
Gibsons,BC,2017-07-27T15:00:00,disk,< 1 minute
Anchorage,AK,2017-07-27T05:55:00,diamond,< 1 minute
Monroeville,PA,2017-07-27T03:30:00,triangle,1 - 5 minutes
Ramsey,MN,2017-07-27T03:00:00,light,121 + minutes
Orlando,FL,2017-07-27T02:16:00,unknown,1 - 5 minutes
Sahuarita,AZ,2017-07-27T02:00:00,light,1 - 5 minutes
Henderson,NV,2017-07-27T01:00:00,circle,16 - 20 minutes
Dingmans Ferry,PA,2017-07-26T23:00:00,light,16 - 20 minutes
Coudersport,PA,2017-07-26T22:15:00,sphere,1 - 5 minutes
Weaverville,NC,2017-07-26T22:00:00,light,1 - 5 minutes
Durham,NH,2017-07-26T22:00:00,other,< 1 minute
Colchester,VT,2017-07-26T22:00:00,light,121 + minutes
Buffalo,WY,2017-07-26T21:50:00,circle,1 - 5 minutes
South Kingstown,RI,2017-07-26T21:35:00,light,< 1 minute
Wilsonville,OR,2017-07-26T21:30:00,oval,< 1 minute
England,XX,2017-07-26T21:30:00,other,1 - 5 minutes
Las Cruces,NM,2017-07-26T21:30:00,fireball,21 - 30 minutes
Kittery,ME,2017-07-26T20:30:00,other,21 - 30 minutes
Green Valley Lake,CA,2017-07-26T12:16:00,changing,1 - 5 minutes
Kokomo,IN,2017-07-26T12:05:00,unknown,1 - 5 minutes
Phoenix,AZ,2017-07-26T04:20:00,fireball,1 - 5 minutes
Beaufort,SC,2017-07-26T03:45:00,diamond,< 1 minute
Winterset,OH,2017-07-26T02:00:00,light,61 - 120 minutes
Pleasanton,TX,2017-07-26T01:00:00,flash,16 - 20 minutes
Texarkana,AR,2017-07-26T00:45:00,light,1 - 5 minutes
Bellingham,WA,2017-07-26T00:05:00,circle,< 1 minute
Williamston,SC,2017-07-25T22:35:00,circle,1 - 5 minutes
Tacoma,WA,2017-07-25T22:04:00,other,< 1 minute
Westfield,NY,2017-07-25T22:00:00,light,1 - 5 minutes
North Muskegon,MI,2017-07-25T22:00:00,light,1 - 5 minutes
Rock Springs,NM,2017-07-25T20:30:00,triangle,1 - 5 minutes
Glen Allen,VA,2017-07-25T20:00:00,light,< 1 minute
Glen Allen,VA,2017-07-25T20:00:00,light,< 1 minute
Columbus,OH,2017-07-25T08:45:00,cylinder,6 - 10 minutes
New York,NY,2017-07-25T05:15:00,fireball,1 - 5 minutes
Sioux Falls,SD,2017-07-25T04:47:00,sphere,< 1 minute
Ladson,SC,2017-07-25T04:00:00,triangle,< 1 minute
Lincoln City,OR,2017-07-25T03:45:00,oval,1 - 5 minutes
Moscow Mills,MO,2017-07-25T02:00:00,light,121 + minutes
Grand Marais,MN,2017-07-24T23:50:00,unknown,1 - 5 minutes
Nixa,MO,2017-07-24T23:50:00,light,6 - 10 minutes
Rochester Hills,MI,2017-07-24T23:00:00,triangle,< 1 minute
Sarasota,FL,2017-07-24T22:00:00,circle,21 - 30 minutes
Cornelius,NC,2017-07-24T21:09:00,light,1 - 5 minutes
North Bend,WA,2017-07-24T19:15:00,oval,< 1 minute
Oshkosh,WI,2017-07-24T18:45:00,sphere,< 1 minute
Zambia,XX,2017-07-24T18:28:00,triangle,6 - 10 minutes
Holiday,FL,2017-07-24T05:18:00,oval,1 - 5 minutes
Holiday,FL,2017-07-24T05:18:00,oval,< 1 minute
Littleton,CO,2017-07-24T03:50:00,circle,1 - 5 minutes
Epsom,NC,2017-07-24T03:00:00,circle,21 - 30 minutes
Newark,DE,2017-07-24T03:00:00,cylinder,< 1 minute
San Diego,CA,2017-07-24T02:18:00,flash,1 - 5 minutes
Reno,NV,2017-07-24T01:35:00,unknown,31 - 60 minutes
Saint Croix,NB,2017-07-23T23:06:00,other,1 - 5 minutes
Highlands Ranch,CO,2017-07-23T22:05:00,light,< 1 minute
Richmond,ME,2017-07-23T22:00:00,teardrop,< 1 minute
Graham,WA,2017-07-23T21:58:00,light,6 - 10 minutes
Geneva,IL,2017-07-23T21:05:00,fireball,1 - 5 minutes
Columbia,MO,2017-07-23T21:00:00,light,1 - 5 minutes
Meriden,CT,2017-07-23T20:30:00,egg,< 1 minute
Tulsa,OK,2017-07-23T20:05:00,sphere,6 - 10 minutes
Trigg County,KY,2017-07-23T14:00:00,disk,1 - 5 minutes
Colorado Springs,CO,2017-07-23T03:10:00,light,1 - 5 minutes
